"Title","Description","Priority","Week Day","Task ID","Assigned To","Instances","UniqueID","Microgreen Weight","QuickInfo","Complete Only","ProcessLink","Has A SP Checklist Been Created"
"Opening ","Open the farm.","High Priority","[""Monday"",""Sunday"",""Tuesday"",""Wednesday"",""Friday"",""Saturday"",""Thursday""]","General Maintenance","General Laborer","1","O",,,"False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Farm-Opening.aspx","True"
"Closing","Close the farm.","High Priority","[""DISABLED""]","General Maintenance","General Laborer","1","C",,,"False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Farm-Closing.aspx","False"
"Clean Tower Clips","Clean tower clips. ","Low Priority","[""Tuesday""]","General Maintenance","General Laborer","1","CTC",,,"False",,"False"
"Move the Romaine to the NFT","Move the Romaine to the NFT","High Priority","[""DISABLED""]","Moving","Leafy Green Mover","1","MR1",,,"False",,"False"
"Check the Inventory of Leafy Green Stock","Check the Rockwool, Oasis Cubes, Seeds, and Leafy Green Bags.","Low Priority","[""Monthly""]","General Maintenance","Leafy Green Farmer","1","CLI1",,,"False",,"False"
"Check General Inventory Stock","Check the stock of Order Bags, Order Boxes, Labels, and More","Low Priority","[""Monthly""]","General Maintenance","General Laborer","1","CGI1",,,"False",,"False"
"Check Nutrient Inventory","Ensure we have enough nutrients to last roughlt three months.","Low Priority","[""Monthly""]","General Maintenance","Equipment Maintainer","1","CNI1",,,"False",,"False"
"Clean NFT Manifolds","Clean the Manifolds for the NFT","Low Priority","[""DISABLED""]","General Maintenance","Equipment Cleaner","1","NWC1",,,"False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Checking-NFT-Water-Supply-Lines.aspx","True"
"Uncover the Leafy Green and Herb trays.","There should be many trays to uncover including Romaine, Swiss Chard, Butter Crunch, Red Oak, Kale, Summer Crisp, Basil, and Collard Greens","Low Priority","[""Friday""]","General Maintenance","Leafy Green Mover","1","WTW1",,,"True",,"False"
"Seed Pea Microgreens","Use soaked seeds. Place trays directly into Watering Rack. Use 1 shim under tray in watering rack.","High Priority","[""Monday""]","Seeding","Microgreen Seeder","3","PPM1","15 lbs","7.7 oz of seed","False","https://netorgft4782353.sharepoint.com/:u:/r/sites/GrowSpaceEducation/SitePages/Seed-Microgreens.aspx?csf=1&web=1&share=EbJ4H75ar9hIvTCHhtg2iPAB_rUqGqASip5mHrcDjcVV6w&e=dexreR","False"
"Seed Radish Microgreens","Seed the Radish Microgreens","High Priority","[""Saturday""]","Seeding","Microgreen Seeder","2","SRM1","10 lbs","1.1 oz of seed","False","https://netorgft4782353.sharepoint.com/:u:/r/sites/GrowSpaceEducation/SitePages/Seed-Microgreens.aspx?csf=1&web=1&share=EbJ4H75ar9hIvTCHhtg2iPAB_rUqGqASip5mHrcDjcVV6w&e=dexreR","False"
"Seed Mustard Microgreens","Do not stack while germinating. ","High Priority","[""Sunday""]","Seeding","Microgreen Seeder","4","SMM1","None","0.5 oz of seed","False","https://netorgft4782353.sharepoint.com/:u:/r/sites/GrowSpaceEducation/SitePages/Seed-Microgreens.aspx?csf=1&web=1&share=EbJ4H75ar9hIvTCHhtg2iPAB_rUqGqASip5mHrcDjcVV6w&e=dexreR","False"
"Remove Weight/BO and Move Broccoli Microgreens to Watering Rack","Put in D watering rack on shelf with fan; After move, run water in rack until tray is wet.","High Priority","[""Wednesday""]","Blackout Task","Microgreen General Maintainer","4","RWB1","N/A",,"True","https://netorgft4782353.sharepoint.com/:u:/r/sites/GrowSpaceEducation/SitePages/Remove-Blackout-and-Move-to-Watering-Rack.aspx?csf=1&web=1&share=EdD-j1_xQw5KhjDthuIYis4BXPfXxZLKxi7Jm9U22__17g&e=apBosh","False"
"Remove Weight and BO for Pea Microgreens","Remove Weight and dome for Pea Microgreens","High Priority","[""Friday""]","Blackout Task","Microgreen General Maintainer","3","RWP1","None",,"True","https://netorgft4782353.sharepoint.com/:u:/r/sites/GrowSpaceEducation/SitePages/Remove-Blackout-and-Move-to-Watering-Rack.aspx?csf=1&web=1&share=EdD-j1_xQw5KhjDthuIYis4BXPfXxZLKxi7Jm9U22__17g&e=apBosh","False"
"Remove BO and Move Mustard Microgreens to Watering Rack","Remove Dome and Move Mustard Microgreens to Watering Rack","High Priority","[""Wednesday""]","Dome Task","Microgreen General Maintainer","4","RDM1","None",,"True","https://netorgft4782353.sharepoint.com/:u:/r/sites/GrowSpaceEducation/SitePages/Remove-Blackout-and-Move-to-Watering-Rack.aspx?csf=1&web=1&share=EdD-j1_xQw5KhjDthuIYis4BXPfXxZLKxi7Jm9U22__17g&e=apBosh","False"
"Harvest Pea Microgreens","Apis: 3 oz in 24 oz container; Others: 1 oz in 8 oz container","Medium Priority","[""Wednesday""]","Harvesting","Microgreen Harvester","3","HPM1","None",,"False","https://netorgft4782353.sharepoint.com/:u:/r/sites/GrowSpaceEducation/SitePages/Harvest-Microgreens.aspx?csf=1&web=1&share=ERX0Yzmr4ppAo9gfIKx887UB39l4zZs5SUjTJgfdITY1Kg&e=2GJcu6","False"
"Harvest Broccoli Microgreens","1 oz per 8 oz container","Medium Priority","[""Wednesday""]","Harvesting","Microgreen Harvester","5","HBM1","N/A",,"False","https://netorgft4782353.sharepoint.com/:u:/r/sites/GrowSpaceEducation/SitePages/Harvest-Microgreens.aspx?csf=1&web=1&share=ERX0Yzmr4ppAo9gfIKx887UB39l4zZs5SUjTJgfdITY1Kg&e=2GJcu6","False"
"Harvest Radish Microgreens","1 oz in 8 oz container","Medium Priority","[""Wednesday""]","Harvesting","Microgreen Harvester","2","HRM1","N/A",,"False","https://netorgft4782353.sharepoint.com/:u:/r/sites/GrowSpaceEducation/SitePages/Harvest-Microgreens.aspx?csf=1&web=1&share=ERX0Yzmr4ppAo9gfIKx887UB39l4zZs5SUjTJgfdITY1Kg&e=2GJcu6","False"
"Harvest Mustard Microgreens","0.7 oz in 8 oz container","Medium Priority","[""Wednesday""]","Harvesting","Microgreen Harvester","5","HMM1","None",,"False","https://netorgft4782353.sharepoint.com/:u:/r/sites/GrowSpaceEducation/SitePages/Harvest-Microgreens.aspx?csf=1&web=1&share=ERX0Yzmr4ppAo9gfIKx887UB39l4zZs5SUjTJgfdITY1Kg&e=2GJcu6","False"
"Seed Arugula Microgreens","Mucilagenous seeds; do not stack","High Priority","[""Monday""]","Seeding","Microgreen Seeder","5","SAM1","None","0.4 oz of seed","False","https://netorgft4782353.sharepoint.com/:u:/r/sites/GrowSpaceEducation/SitePages/Seed-Microgreens.aspx?csf=1&web=1&share=EbJ4H75ar9hIvTCHhtg2iPAB_rUqGqASip5mHrcDjcVV6w&e=dexreR","False"
"Harvest Arugula Micogreens","0.5 oz in 8 oz container","Medium Priority","[""Wednesday""]","Harvesting","Microgreen Harvester","5","HAM1","None",,"False","https://netorgft4782353.sharepoint.com/:u:/r/sites/GrowSpaceEducation/SitePages/Harvest-Microgreens.aspx?csf=1&web=1&share=ERX0Yzmr4ppAo9gfIKx887UB39l4zZs5SUjTJgfdITY1Kg&e=2GJcu6","False"
"Water Microgreen Germination Trays",,"High Priority","[""Sunday"",""Monday"",""Tuesday"",""Saturday""]","Watering","Microgreen Waterer","1","WMG1","None",,"False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Watering-Microgreens.aspx","False"
"Change Microgreen Reservoir Water and Clean Shelves","This process ensures that the water in the microgreen reservoir is fresh and properly prepared with nutrients and pH adjustments to maintain optimal plant growth. Regular water changes prevent buildup of debris, pathogens, and nutrient imbalances.","Low Priority","[""Monthly""]","General Maintenance","Microgreen General Maintainer","1","CMRW1","N/A",,"False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Changing-Microgreen-Reservoir-Water.aspx","False"
"Check Paper Towel Levels","This process ensures that the farm is secured, cleaned, and organized at the end of the day. Proper closing procedures help maintain a safe, efficient workspace and prepare the facility for the next day.","Low Priority","[""Thursday""]","General Maintenance","General Laborer","1","CPTL","None",,"True","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Checking-Paper-Towel-Levels-and-Refilling.aspx","False"
"Remove Garbage from Non-Farm areas","This process outlines the steps for collecting and disposing of trash from various locations outside of the main farm area, including the lobby and office. Proper trash disposal maintains cleanliness, prevents odors, and ensures a professional environment.","Low Priority","[""Thursday""]","General Maintenance","General Laborer","1","CNFG1","N/A",,"False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Taking-out-Non-farm-Trash.aspx","False"
"Vacuum the Office and Lobby","This process ensures that the office and lobby areas are vacuumed thoroughly to maintain cleanliness and a professional appearance. Regular vacuuming removes dirt, debris, and allergens, creating a clean environment for employees and visitors.","Low Priority","[""Thursday""]","General Maintenance","General Laborer","1","VO1","N/A",,"False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Vacuuming-the-Office-and-Lobby.aspx","False"
"Clean Outside Facing Lobby Window","This process ensures the lobby’s outside-facing windows are cleaned to maintain a professional and welcoming appearance. Regular cleaning removes smudges, dirt, and streaks, leaving the glass spotless and clear.","Low Priority","[""Monthly""]","General Maintenance","General Laborer","1","COW1","None",,"False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Cleaning-Lobby-Out-Side-Facing-Window.aspx","False"
"Washing Farm Towels and Filter Socks","This process outlines the steps for staff to take farm towels and filter socks home for washing, ensuring they are cleaned and returned in a timely and hygienic manner. Regular washing helps maintain cleanliness and prevent cross-contamination.

","Low Priority","[""Tuesday""]","General Maintenance","General Laborer","1","WTFS1","N/A",,"False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Washing-Farm-Towels.aspx","False"
"Clean Farm Floor","This process ensures the farm’s floors are cleaned thoroughly and sanitized using a power mop.","Low Priority","[""Monday""]","General Maintenance","General Laborer","1","MF1","N/A",,"False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Mopping-Farm-Floor-Weekly.aspx","False"
"Interior Window Cleaning","This process outlines the steps required to open the vertical farm safely and efficiently. The checklist ensures that all systems are operational, environmental conditions are optimal, and any issues are promptly reported.","Low Priority","[""Monthly""]","General Maintenance","General Laborer","1","WIW1","N/A",,"False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Interior-Window-Cleaning.aspx","False"
"Check pH and Water Levels in Towers","This process ensures the water pH and levels in all towers are within the optimal range for plant health. Adjustments are made as needed to maintain a target pH of 6.0 and adequate water levels using ATOs (Automatic Top Offs).","Medium Priority","[""Thursday""]","General Maintenance","General Laborer","1","PHWL1","N/A",,"False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Checking-pH-and-Water-Levels-in-Towers.aspx","False"
"Seed Leafy Greens","Seed the leafy greens needed based off of the leafy green seedling planning spreadsheet.","High Priority","[""Tuesday""]","Seeding","Leafy Green Seeder","1","ST1","N/A",,"False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Seeding-Produce.aspx","False"
"Harvest NFT ",,"Medium Priority","[""DISABLED""]","Harvesting","Leafy Green Harvester","1","NFTH1","None",,"False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Harvesting-in-NFT-Systems.aspx","False"
"Clean NFT Channels Covers","This procedure ensures that NFT channel covers are thoroughly cleaned, disinfected, and stored properly. Regular cleaning maintains system hygiene, prevents contamination, and ensures the covers are ready for reuse.","Medium Priority","[""DISABLED""]","General Maintenance","General Laborer","1","CNCC1","N/A",,"False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Cleaning-NFT-Channel-Covers.aspx","False"
"Repair Leaking NFT Channels","This process outlines the steps for identifying and repairing leaks in NFT channels using Flex Seal. Proper repair ensures channels remain functional and water-tight, maintaining system efficiency and integrity.","Medium Priority","[""DISABLED""]","General Maintenance","Equipment Maintainer","1","GTC1","N/A",,"False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Repairing-Leaking-NFT-Channels.aspx","False"
"Clean NFT Channels","This process ensures NFT channels are thoroughly cleaned, sanitized, and stored properly for reuse. Regular cleaning prevents contamination, maintains water quality, and prepares channels for the next growing cycle.","Medium Priority","[""DISABLED""]","General Maintenance","Equipment Cleaner","1","CTC2","N/A",,"False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Cleaning-NFT-Channels.aspx","False"
"Replace NFT Channels and Manifolds","This process ensures that NFT channels, covers, and manifolds are replaced properly after harvesting and before planting. It includes preparation, installation, testing, and finalizing the system to ensure optimal function for planting.","Medium Priority","[""DISABLED""]","General Maintenance","Equipment Cleaner","1","RTNC1","N/A",,"False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Replacing-NFT-Manifolds-and-Channels-After-Harvest.aspx","False"
"Plant Basil Tower","This process ensures that two-week-old seedlings grown in the ebb and flow system are properly transplanted into towers. Proper handling and planting are essential for plant health, growth, and system functionality.","High Priority","[""DISABLED""]","Moving","Leafy Green Mover","1","MTT1","N/A","44 Basil","False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Transferring-Seeds-to-Tower.aspx","False"
"Plant Butter Crunch Tower","This process ensures that two-week-old seedlings grown in the ebb and flow system are properly transplanted into towers. Proper handling and planting are essential for plant health, growth, and system functionality.","Medium Priority","[""DISABLED""]","Moving","Leafy Green Mover","1","MTT2","N/A","44 Butter","False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Transferring-Seeds-to-Tower.aspx","False"
"Plant Kale Tower","This process ensures that two-week-old seedlings grown in the ebb and flow system are properly transplanted into towers. Proper handling and planting are essential for plant health, growth, and system functionality.","Medium Priority","[""DISABLED""]","Moving","Leafy Green Mover","1","MTT3","None","44 Kale","False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Transferring-Seeds-to-Tower.aspx","False"
"Plant General Tower","This process ensures that two-week-old seedlings grown in the ebb and flow system are properly transplanted into towers. Proper handling and planting are essential for plant health, growth, and system functionality.","Medium Priority","[""DISABLED""]","Moving","Leafy Green Mover","1","MTT4","N/A","16 Summer, 20 Arugula, 4 Collard, 4 Swiss Chard","False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Transferring-Seeds-to-Tower.aspx","False"
"Plant Romaine and Red Oak Tower","This process ensures that two-week-old seedlings grown in the ebb and flow system are properly transplanted into towers. Proper handling and planting are essential for plant health, growth, and system functionality.","Medium Priority","[""DISABLED""]","Moving","Leafy Green Mover","1","MTT5","None","36 Romaine, 8 Red Oak","False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Transferring-Seeds-to-Tower.aspx","False"
"Plant Chives in Residential Tower","This process ensures that two-week-old seedlings grown in the ebb and flow system are properly transplanted into towers. Proper handling and planting are essential for plant health, growth, and system functionality.","Medium Priority","[""DISABLED""]","Moving","Leafy Green Mover","1","MTT6","None","Plant in Residential Tower","False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Transferring-Seeds-to-Tower.aspx","False"
"Plant Baby Arugula in Baby NFT","This process ensures that two-week-old seedlings grown in the ebb and flow system are properly transplanted into towers. Proper handling and planting are essential for plant health, growth, and system functionality.","Medium Priority","[""DISABLED""]","Moving","Leafy Green Mover","1","MTT7","N/A","Baby NFT is by the Window","False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Transferring-Seeds-to-Tower.aspx","False"
"Harvest the Basil Tower","This procedure outlines the steps for harvesting and packaging produce from the towers, including handling plants, checking for pests or damage, and packaging them correctly. Proper harvesting ensures product quality, reduces mess, and maintains system cleanliness.","High Priority","[""DISABLED""]","Harvesting","Leafy Green Harvester","1","HTT1","N/A",,"False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Harvesting-and-Packaging-From-Towers.aspx","False"
"Harvest Butter Crunch Tower","This procedure outlines the steps for harvesting and packaging produce from the towers, including handling plants, checking for pests or damage, and packaging them correctly. Proper harvesting ensures product quality, reduces mess, and maintains system cleanliness.","High Priority","[""DISABLED""]","Harvesting","Leafy Green Harvester","1","HTT2","N/A","44 Butter","False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Harvesting-and-Packaging-From-Towers.aspx","False"
"Harvest Romaine and Red Oak Tower","This procedure outlines the steps for harvesting and packaging produce from the towers, including handling plants, checking for pests or damage, and packaging them correctly. Proper harvesting ensures product quality, reduces mess, and maintains system cleanliness.","High Priority","[""DISABLED""]","Harvesting","Leafy Green Harvester","1","HTT4","N/A","36 Romaine, 8 Red Oak","False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Harvesting-and-Packaging-From-Towers.aspx","False"
"Harvest Chives Tower","This procedure outlines the steps for harvesting and packaging produce from the towers, including handling plants, checking for pests or damage, and packaging them correctly. Proper harvesting ensures product quality, reduces mess, and maintains system cleanliness.","High Priority","[""DISABLED""]","Harvesting","Leafy Green Harvester","1","HCT1","N/A",,"False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Harvesting-and-Packaging-From-Towers.aspx","False"
"Harvest Baby Arugula in the Baby NFT","This procedure outlines the steps for harvesting and packaging produce from the towers, including handling plants, checking for pests or damage, and packaging them correctly. Proper harvesting ensures product quality, reduces mess, and maintains system cleanliness.","High Priority","[""DISABLED""]","Harvesting","Leafy Green Harvester","1","HTT7","N/A",,"False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Harvesting-and-Packaging-From-Towers.aspx","False"
"Harvest Turnip Microgreens","1 oz per 8 oz container","Medium Priority","[""Wednesday""]","Harvesting","Microgreen Harvester","2","HTM1","5 lbs",,"False","https://netorgft4782353.sharepoint.com/:u:/s/GrowSpaceEducation/ERX0Yzmr4ppAo9gfIKx887UB39l4zZs5SUjTJgfdITY1Kg?e=tsy5vb","False"
"Harvest Spicy Mix Microgreens","0.7 oz per 8 oz container","Medium Priority","[""Wednesday""]","Harvesting","Microgreen Harvester","5","HSM1","None",,"False","https://netorgft4782353.sharepoint.com/:u:/s/GrowSpaceEducation/ERX0Yzmr4ppAo9gfIKx887UB39l4zZs5SUjTJgfdITY1Kg?e=tsy5vb","False"
"Remove Weight/BO and Move Turnip Microgreens to Watering Rack","Remove Weight/BO and Move Turnip Microgreens to Watering Rack","High Priority","[""Thursday""]","Dome Task","Microgreen General Maintainer","2","RTM1","5 lbs",,"False","https://netorgft4782353.sharepoint.com/:u:/r/sites/GrowSpaceEducation/SitePages/Remove-Blackout-and-Move-to-Watering-Rack.aspx?csf=1&web=1&share=EdD-j1_xQw5KhjDthuIYis4BuVk8w1u6nWkHFTunoyNVVQ&e=nWRlg1","False"
"Remove BO and Move Spicy Mix Microgreens to Watering Rack","Remove BO and Move Spicy Mix Microgreens to Watering Rack","High Priority","[""Wednesday""]","Dome Task","Microgreen General Maintainer","4","RSM1","None",,"False","https://netorgft4782353.sharepoint.com/:u:/s/GrowSpaceEducation/EdD-j1_xQw5KhjDthuIYis4BuVk8w1u6nWkHFTunoyNVVQ?e=D8kXZI","False"
"Seed Turnip Microgreens","Seed Turnip Microgreens","High Priority","[""Monday""]","Seeding","Microgreen Seeder","2","STM1","N/A","Use 0.8 oz of seed.","False","https://netorgft4782353.sharepoint.com/:u:/s/GrowSpaceEducation/EbJ4H75ar9hIvTCHhtg2iPAB_rUqGqASip5mHrcDjcVV6w?e=FW35cJ","False"
"Seed Spicy Mix Microgreens","Seed Spicy Mix Microgreens","High Priority","[""Sunday""]","Seeding","Microgreen Seeder","4","SSM1","N/A","Use 0.5 oz of seed.","False","https://netorgft4782353.sharepoint.com/:u:/s/GrowSpaceEducation/EbJ4H75ar9hIvTCHhtg2iPAB_rUqGqASip5mHrcDjcVV6w?e=FW35cJ","False"
"Harvest Kale Tower","This procedure outlines the steps for harvesting and packaging produce from the towers, including handling plants, checking for pests or damage, and packaging them correctly. Proper harvesting ensures product quality, reduces mess, and maintains system cleanliness.","Medium Priority","[""DISABLED""]","Harvesting","Leafy Green Harvester","1","HKT1","N/A","44 Kale","False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Harvesting-and-Packaging-From-Towers.aspx","False"
"Change filter sock","Replace NFT filter sock with clean one","Medium Priority","[""DISABLED""]",,"General Laborer","1","CFS","None",,"False",,"False"
"TESTER","TESTER","High Priority","[""DISABLED""]","Seeding","Farm Manager","1","TEST12","None","TESTER","False",,"False"
"Move Dirty NFT Channels to Storage Room","This task outlines the safe removal and storage of NFT channels after harvest. Proper coordination, draining, and handling of these gutter-like channels help maintain workflow efficiency and prevent water spills or workspace obstructions.","Medium Priority","[""DISABLED""]","General Maintenance","Equipment Maintainer","1","MNDC1","N/A",,"False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Move-Dirty-NFT-Channels-to-Storage-Room.aspx","False"
"Set Clean NFT Channels","This task ensures that cleaned NFT channels are correctly reinstalled on their shelves, with proper alignment, tubing, and drainage setup. It maintains system cleanliness, prevents leaks, and ensures smooth transition back into operation.","Medium Priority","[""DISABLED""]","General Maintenance","Equipment Maintainer","1","PTNC1","N/A",,"False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Setting-Clean-NFT-Channels-Back-On-the-Shelf.aspx","False"
"Clean Tower Basins","This task ensures proper disassembly, cleanup, and preparation of Tower Garden basins. By vacuuming out debris and, when necessary, fully emptying the basin, we ensure that the system remains clean and supports healthy plant growth.","Medium Priority","[""Wednesday""]","General Maintenance","Equipment Cleaner","1","CTTB1","N/A",,"False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Cleaning-Tower-Basins.aspx?Mode=Edit","False"
"Set Clean Towers","This task ensures a freshly cleaned basin receives a clean, fully assembled tower. Proper setup guarantees water is circulating correctly and the tower is ready for new planting.","Medium Priority","[""Wednesday""]","General Maintenance","Equipment Maintainer","1","SCT1","N/A",,"False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Setting-a-Clean-Tower.aspx","False"
"Clean Tower Garden Pots","This task ensures Tower Garden pots and structural rods are thoroughly cleaned and prepped after soaking. Removing built-up grime supports plant health and extends the life of the towers.","Medium Priority","[""Thursday""]","General Maintenance","Equipment Maintainer","1","CTP1","N/A",,"False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Cleaning-Tower-Pot.aspx","False"
"Assemble Tower Gardens","This task covers the full assembly of Tower Garden units, from securing the base to testing water flow. Proper alignment and tightening are crucial for healthy plant growth and reliable irrigation.

","Medium Priority","[""Saturday""]","General Maintenance","Equipment Maintainer","1","ATT1","N/A",,"False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Assembling-Towers.aspx","False"
"Disassemble Towers","This task involves disassembling tower units in the back room after they have been removed from their growing position. By doing this later, staff can prioritize other time-sensitive tasks while still maintaining the cleanliness and readiness of the tower system.","Medium Priority","[""Wednesday""]","General Maintenance","Equipment Maintainer","1","DTTG1","N/A",,"False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Disassembling-Towers.aspx","False"
"Replace Fan and Furnace Filter","Replace the filter for the furnace and the fans to make sure that we don't get Mildew","Low Priority","[""Bi-Weekly A""]","General Maintenance","General Laborer","1","RFF1","N/A",,"False",,"True"
"Plant Towers","Plant the needed towers for the week based on the checklist.","Low Priority","[""Thursday""]","Moving","Leafy Green Mover","1","PTT1","N/A",,"False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Transferring-Seeds-to-Tower.aspx","False"
"Harvest Towers","Harvest the Towers in the checklist.","High Priority","[""Tuesday""]","Harvesting","Leafy Green Harvester","1","HTT1","N/A",,"False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Harvesting-and-Packaging-From-Towers.aspx","False"
